indicatorName,indicatorCode,year,yearcode,Canada,China,France,Germany,India,Italy,Japan,Morocco,Nepal,Russian Federation,United Kingdom,United States
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1960,X1960,26.7,20.86,18.7,17.3,42.107,18.1,17.3,51.142,44.886,23.788,17.5,23.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1961,X1961,26,18.02,18.7,17.9,41.865,18.4,17,50.757,44.541,22.734,17.9,23.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1962,X1962,25.2,37.01,18.6,17.8,41.602,18.4,17.1,50.238,44.226,21.543,18.3,22.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1963,X1963,24.6,43.37,18.5,18.1,41.317,18.7,17.4,49.583,43.947,20.257,18.5,21.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1964,X1964,23.4,39.14,18.4,18,41.013,19.7,17.8,48.804,43.706,18.936,18.8,21.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1965,X1965,21.3,37.88,18.2,17.4,40.696,19,18.7,47.917,43.499,17.677,18.3,19.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1966,X1966,19.3,35.05,18,17.2,40.374,18.7,13.8,46.945,43.323,16.579,17.9,18.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1967,X1967,18.2,33.96,17.7,16.5,40.057,17.9,19.4,45.927,43.169,15.708,17.5,17.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1968,X1968,17.6,35.59,17.5,15.7,39.747,17.7,18.7,44.902,43.029,15.099,17.2,17.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1969,X1969,17.6,34.11,17.3,14.7,39.447,17.4,18.5,43.905,42.9,14.762,16.6,17.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1970,X1970,17.4,33.43,17,13.4,39.15,16.7,18.7,42.969,42.784,14.673,16.2,18.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1971,X1971,16.8,30.65,16.7,12.9,38.847,16.8,19.1,42.119,42.685,14.77,16.1,17.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1972,X1972,15.9,29.77,16.3,11.5,38.529,16.3,19.2,41.356,42.606,14.963,14.9,15.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1973,X1973,15.6,27.93,15.9,10.3,38.193,16,19.4,40.679,42.545,15.171,13.9,14.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1974,X1974,15.4,24.82,15.5,10.2,37.842,15.8,18.4,40.088,42.494,15.358,13.1,14.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1975,X1975,15.8,23.01,15,9.9,37.491,14.9,17,39.589,42.443,15.51,12.4,14.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1976,X1976,15.6,19.91,14.6,10.2,37.156,14,16.2,39.182,42.383,15.641,12,14.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1977,X1977,15.5,18.93,14.3,10.3,36.852,13.2,15.4,38.843,42.303,15.782,11.7,15.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1978,X1978,15.2,18.25,14.1,10.4,36.58,12.6,14.8,38.537,42.195,15.952,12.2,15
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1979,X1979,15.4,17.82,14,10.5,36.334,11.9,14.1,38.231,42.051,15.8,13.1,15.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1980,X1980,15.4,18.21,14,11.1,36.098,11.3,13.5,37.871,41.871,15.9,13.4,15.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1981,X1981,15.3,20.91,14.1,11,35.85,11,13,37.403,41.656,16,13,15.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1982,X1982,15.1,22.28,14.2,11,35.565,10.9,12.8,36.801,41.411,16.6,12.8,15.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1983,X1983,15,20.19,14.2,10.6,35.227,10.6,12.7,36.058,41.142,17.5,12.8,15.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1984,X1984,15,19.9,14.3,10.4,34.828,10.4,12.5,35.179,40.85,16.9,12.9,15.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1985,X1985,14.9,21.04,14.2,10.5,34.366,10.2,11.9,34.196,40.533,16.6,13.3,15.8
